('attained', 'books/book3|1')
('characters', 'books/book3|2')
('developing', 'books/book3|1')
('far', 'books/book3|1')
('passed', 'books/book2|1 books/book1|1 books/book3|1')
('strength', 'books/book3|1')
('service', 'books/book1|1 books/book3|1')
('single', 'books/book3|1')
('below', 'books/book1|1 books/book3|1')
('themselves', 'books/book3|1')
('wholeheartedly', 'books/book3|1')
('influence', 'books/book3|1')
('gathergold', 'books/book3|4')
('type', 'books/book3|5')
('merely', 'books/book3|3')
('been', 'books/book2|2 books/book1|4 books/book3|4')
('vain', 'books/book1|1')
('weather', 'books/book1|1')
('were', 'books/book2|4 books/book1|11 books/book3|9')
('way', 'books/book2|1 books/book1|2')
('lightly', 'books/book1|1')
('nightcap', 'books/book1|1')
('at', 'books/book2|10 books/book1|7 books/book3|16')
('time', 'books/book2|6 books/book1|5 books/book3|3')
('grasp', 'books/book1|1 books/book3|1')
('womans', 'books/book1|1')
('hand', 'books/book2|4 books/book1|2')
('resisted', 'books/book1|1')
('rose', 'books/book1|1')
('spirit', 'books/book2|4 books/book1|4')
('made', 'books/book2|2 books/book1|3')
('towards', 'books/book2|2 books/book1|2')
('clasped', 'books/book1|1')
('mortal', 'books/book1|2')
('liable', 'books/book1|1')
('touch', 'books/book1|1')
('there', 'books/book2|6 books/book1|13 books/book3|4')
('laying', 'books/book1|1')
('stood', 'books/book2|3 books/book1|2')
('thoroughfares', 'books/book1|1')
('shops', 'books/book1|1')
('stopped', 'books/book1|2')
('certain', 'books/book2|1 books/book1|1')
('iii', 'books/book3|1')
('beholding', 'books/book3|1')
('glass', 'books/book3|1')
('glory', 'books/book3|3')
('lord', 'books/book3|1')
('ernest', 'books/book3|13')
('grew', 'books/book3|4')
('stature', 'books/book3|1')
('popular', 'books/book3|1')
('passing', 'books/book3|1')
('politics', 'books/book3|1')
('because', 'books/book3|3')
('vital', 'books/book3|1')
('communion', 'books/book3|1')
('touches', 'books/book3|1')
('meets', 'books/book3|1')
('double', 'books/book3|1')
('act', 'books/book3|1')
('hoped', 'books/book3|1')
('catches', 'books/book3|1')
('ceases', 'books/book3|1')
('character', 'books/book3|1')
('development', 'books/book3|1')
('differently', 'books/book3|1')
('wrought', 'books/book3|1')
('weakness', 'books/book3|1')
('isolation', 'books/book3|1')
('ministry', 'books/book3|1')
('experience', 'books/book3|1')
('constant', 'books/book3|1')
('challenge', 'books/book3|1')
('relate', 'books/book3|1')
('bloodandthunder', 'books/book3|1')
('military', 'books/book3|1')
('eloquent', 'books/book3|1')
('easily', 'books/book3|1')
('satisfied', 'books/book3|1')
('fickle', 'books/book3|1')
('discord', 'books/book3|1')
('natives', 'books/book3|1')
('attainment', 'books/book3|1')
('esther', 'books/book3|1')
('disobedient', 'books/book3|1')
('unto', 'books/book3|1')
('heavenly', 'books/book3|1')
('mother', 'books/book3|12')
('cottage', 'books/book3|1')
('talking', 'books/book3|2')
('brightening', 'books/book3|2')
('embosomed', 'books/book3|1')
('spacious', 'books/book3|1')
('thousand', 'books/book3|1')
('inhabitants', 'books/book3|2')
('log', 'books/book3|1')
